Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
AH-RK-2B-EU,KEYBOARD AND TRACKERBALL,4,"20815152069-026,027,028, 029",13565,26/11/2015,A70,A70,,PO001317,U:\DOC065.pdf,
468192,LEAF HINGE 50 X 50 PA6,50,2015/35,806136/20,30/11/2015,A29,A29,,PO001325,U:\DOC066.pdf,
EAFIT003,"3/4"" X 1.2M EARTH ROD",50,N/A,2685/01,02/12/2015,A76,A76,,PO001329,U:\DOC067.pdf,
EAFIT004,"3/4"" COUPLERS",50,38724,2685/01,02/12/2015,A76,A76,,PO001329,U:\DOC067.pdf,
EAFIT005,"3/4"" DRIVING STUD",5,N/A,2685/01,02/12/2015,A76,A76,,PO001329,U:\DOC067.pdf,
NSYRCDFIX,19 TRUNKING BRACKET,19,2015/16 ,0185895547,03/12/2015,A70,A70,,PO001259,U:\DOC068.pdf,
709-3658,TT2330-S37 PANEL RECEPTACLE 37 WAY,1,N/A,1108577027,04/12/2015,A29,A29,,PO001336,U:\DOC071.pdf,
R6Q21/1,6A 2 POS. OFF/ON 90 DEGREE ROTARY SWITCH,4,N/A,133832,08/12/2015,A29,A29,,PO001327,U:\DOC072.pdf,
T43VRM-24-00,"17"" RACKMOUNT LCD",4,N/A,210410,08/12/2015,A70,A70,,PO001318,U:\DOC073.pdf,
M12,"M12 x 180  NUTS, BOLTS,WASHERS",100,N/A,174-308007,09/12/2015,A70,A70,"100 EACH OF M12 x 180 BOLTS, NUTS AND WASHERS",PO001338,U:\DOC074.pdf,
H382B,SWITCH - MULTIMODE 24/48V,5,N/A,VYSC001783,09/12/2015,A70,A70,DELIVERED BY D.RUSSELL,PO00,U:\DOC075.pdf,
A29-TP-DET-0020-C04,BLANKING PLATE ,4,N/A,12875,10/12/2015,A29,A29,,PO001326,U:\DOC079.pdf,
A29-TP-DET-0013-C02,RUBBING STRIP,8,N/A,12875,10/12/2015,A29,A29,,PO001326,U:\DOC079.pdf,
BE2026 101,"BLANKING PANEL 19"" 1U",134,N/A,12874,10/12/2015,A70,A70,"144 REQUIRED,  134 DELIVERED -CONTACTED ADKAM",PO001308,U:\DOC077.pdf,
BE2026 104,"BLANKING PANEL 19"" 4U",33,N/A,12874,10/12/2015,A70,A70,,PO001308,U:\DOC077.pdf,
BE2031 301,"LABEL PANEL 19"" 1U",75,N/A,12874,10/12/2015,A70,A70,,PO001308,U:\DOC077.pdf,
BC5002 011,LINK PLATE SIZE 2,63,N/A,12874,10/12/2015,A70,A70,"63 REQUIRED,      64 DELIVERED",PO001308,U:\DOC077.pdf,
GJ2028 102,BLANKING PLATE SIZE 2,45,N/A,12874,10/12/2015,A70,A70,,PO001308,U:\DOC077.pdf,
GJ2028 104,BLANKING PLATE SIZE 4,18,N/A,12874,10/12/2015,A70,A70,,PO001308,U:\DOC077.pdf,
GJ2028 106,BLANKING PLATE SIZE 6,27,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC077.pdf,
GJ2028 108,BLANKING PLATE SIZE 8,18,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC077.pdf,
GJ2028 110,BLANKING PLATE SIZE 10,10,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC078.pdf,
GJ2028 112,BLANKING PLATE SIZE 12,2,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC078.pdf,
GJ2028 114,BLANKING PLATE SIZE 14,11,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC078.pdf,
BC5002 014,MCB REAR PLATE SIZE 2,190,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC078.pdf,
BC5002 075,SWITCH PLATE SIZE 2,8,N/A,12877,10/12/2015,A70,A70,,PO001308,U:\DOC078.pdf,
0448360000,ST5/EN STUD TERMINAL,6,N/A,174-308193,14/12/2015,A39,A39,,PO001339,U:\DOC080.pdf,
6491B,GREEN/YELLOW  LSF   50.0MM CABLE,15M,N/A,174-308193,14/12/2015,A39,A39,,PO001339,U:\DOC080.pdf,
CT50 6,LUG,2,N/A,174-308193,14/12/2016,A39,A39,,PO001339,U:\DOC080.pdf,
A9F54132,IC60H MCB SP C 32A,1,N/A,174-308193,14/12/2015,A39,A39,,PO001339,U:\DOC080.pdf,
A2/75 ,CTC A2 GLAND PACK,4,N/A,174-308193,14/12/2015,A39,A39,,PO001339,U:\DOC080.pdf,
BE2026 101,BLANKING PLATE,10,N/A,12890,15/12/2015,A70,A70,,PO001308,U:\DOC082.pdf,
NSYRCDFIX,19 TRUNKING BRACKET,4,2015/18,0185927096,22/12/2015,A70,A70,,PO001259,U:\DOC083.pdf,
10450033,37.5 x 50 TRUNKING,224M,21600-LG,581685,22/12/2015,A70,A70,,,U:\DOC084.pdf,
10450075,75 x 100  TRUNKING,13,N/A,581685,22/12/2015,A70,A70,13 BOXES OF  TRUNKING     ( 4 x 2M ),,U:\DOC084.pdf,
IR 2.5/6.5 ,INSULATING RING CRIMP,1000,N/A,174-310032,22/12/2015,A70,A70,,PO001369,U:\DOC085.pdf,
KLMR150T ,UNITRUNK 150MM TRAY,16,N/A,174-310042,22/12/2015,A70,A70,  16 x 3M LENGTHS,PO001360,U:\DOC086.pdf,
